personid,fk_test,answers_id,gender,age,residence,education,SIknowledge,result_id,quizSI1,quizSI2,quizSI3,quizSI4,quizSI5,quizSI6,answers_id,have_met,SIvsSystemy,feelings,EasyToFind,EasyToFindExample1,EasyToFindExample2,EasyToFindExample3,EasyToFindExample4,EasyToFindExample5,EasyToFindExample6,are_useful,fear,endangered,linkMonitoring1,linkMonitoring2,linkMonitoring3,linkMonitoring4,linkMonitoring5,linkMonitoring6,is_good,is_affecting,would_you_accept,is_helping,emotional_disorders
55,55,55,male,1,500k+,4,TRUE,55,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,55,TRUE,TRUE,Pozyt,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,4
56,56,56,male,1,500k+,4,TRUE,56,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,56,FALSE,TRUE,Pozyt,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,IDK,1
57,57,57,male,1,100-500k,2,TRUE,57,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,57,FALSE,FALSE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,IDK,3
58,58,58,male,1,500k+,2,TRUE,58,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,58,TRUE,TRUE,Neutr,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,2
59,59,59,female,1,500k+,4,TRUE,59,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,59,TRUE,TRUE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,IDK,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,IDK,2
60,60,60,male,1,50-100k,4,TRUE,60,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,60,TRUE,TRUE,Neutr,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,IDK,1
61,61,61,male,1,50-100k,4,TRUE,61,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,61,TRUE,TRUE,Neutr,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,IDK,1
62,62,62,female,1,500k+,4,TRUE,62,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,62,FALSE,TRUE,Neutr,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,3
63,63,63,male,1,500k+,5,TRUE,63,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,63,FALSE,TRUE,Neutr,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,IDK,1
64,64,64,female,1,100-500k,4,TRUE,64,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,64,FALSE,TRUE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,IDK,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,IDK,2
